Category,Year,Value
All people,2007,22250
Not recorded,2007,110
16-17,2007,30
18-24,2007,1350
25-29,2007,1990
30-34,2007,2220
35-39,2007,2960
40-44,2007,3620
45-49,2007,3510
50-54,2007,3100
55-59,2007,2290
60-64,2007,910
65+,2007,160
Not recorded,2007,90
Female,2007,13090
Male,2007,9060
Not recorded,2007,20
Arms or hands,2007,1420
Legs or feet,2007,1250
Back or neck,2007,4310
"Stomach, liver, kidney or digestion",2007,50
"Heart, blood, blood pressure or circulation",2007,120
Chest or breathing,2007,70
Skin conditions and severe disfigurement,2007,20
Deaf or hard of hearing,2007,3410
Difficulty in seeing,2007,3510
Difficulty in speaking,2007,60
Learning disability,2007,1160
Progressive illness,2007,1420
Dyslexia,2007,1190
Epilepsy,2007,620
Diabetes,2007,70
Mental health condition,2007,170
Cerebral Palsy,2007,280
Spina Bifida,2007,100
Other,2007,2980
Not recorded,2007,330
North East,2007,1360
North West,2007,3570
Yorkshire and The Humber,2007,2110
East Midlands,2007,1690
West Midlands,2007,2060
East of England,2007,1860
London,2007,2090
South East,2007,2290
South West,2007,1890
Wales,2007,1530
Scotland,2007,1480
All people,2008,24240
Not recorded,2008,50
16-17,2008,20
18-24,2008,1410
25-29,2008,2100
30-34,2008,2310
35-39,2008,3200
40-44,2008,3800
45-49,2008,4020
50-54,2008,3560
55-59,2008,2570
60-64,2008,1010
65+,2008,190
Not recorded,2008,80
Female,2008,14950
Male,2008,9210
Not recorded,2008,20
Arms or hands,2008,1800
Legs or feet,2008,1620
Back or neck,2008,5280
"Stomach, liver, kidney or digestion",2008,50
"Heart, blood, blood pressure or circulation",2008,150
Chest or breathing,2008,90
Skin conditions and severe disfigurement,2008,10
Deaf or hard of hearing,2008,3330
Difficulty in seeing,2008,3490
Difficulty in speaking,2008,60
Learning disability,2008,990
Progressive illness,2008,1410
Dyslexia,2008,1680
Epilepsy,2008,640
Diabetes,2008,90
Mental health condition,2008,180
Cerebral Palsy,2008,320
Spina Bifida,2008,100
Other,2008,2940
Not recorded,2008,340
North East,2008,1360
North West,2008,3490
Yorkshire and The Humber,2008,2480
East Midlands,2008,1800
West Midlands,2008,2490
East of England,2008,2060
London,2008,2200
South East,2008,2420
South West,2008,2200
Wales,2008,1510
Scotland,2008,1900
All people,2009,27730
Not recorded,2009,30
16-17,2009,20
18-24,2009,1450
25-29,2009,2420
30-34,2009,2580
35-39,2009,3460
40-44,2009,4390
45-49,2009,4750
50-54,2009,4210
55-59,2009,2980
60-64,2009,1160
65+,2009,280
Not recorded,2009,40
Female,2009,17330
Male,2009,10360
Not recorded,2009,20
Arms or hands,2009,2120
Legs or feet,2009,1820
Back or neck,2009,6360
"Stomach, liver, kidney or digestion",2009,100
"Heart, blood, blood pressure or circulation",2009,190
Chest or breathing,2009,120
Skin conditions and severe disfigurement,2009,20
Deaf or hard of hearing,2009,3700
Difficulty in seeing,2009,3610
Difficulty in speaking,2009,80
Learning disability,2009,910
Progressive illness,2009,1590
Dyslexia,2009,2540
Epilepsy,2009,620
Diabetes,2009,150
Mental health condition,2009,330
Cerebral Palsy,2009,310
Spina Bifida,2009,90
Other,2009,3070
Not recorded,2009,360
North East,2009,1600
North West,2009,3960
Yorkshire and The Humber,2009,2870
East Midlands,2009,2060
West Midlands,2009,2880
East of England,2009,2470
London,2009,2670
South East,2009,2800
South West,2009,2390
Wales,2009,1660
Scotland,2009,2040
All people,2010,22420
Not recorded,2010,10
16-17,2010,20
18-24,2010,1320
25-29,2010,1970
30-34,2010,2240
35-39,2010,2790
40-44,2010,3380
45-49,2010,3800
50-54,2010,3290
55-59,2010,2420
60-64,2010,950
65+,2010,220
Not recorded,2010,10
Female,2010,13740
Male,2010,8670
Not recorded,2010,10
Arms or hands,2010,1620
Legs or feet,2010,1540
Back or neck,2010,3810
"Stomach, liver, kidney or digestion",2010,80
"Heart, blood, blood pressure or circulation",2010,170
Chest or breathing,2010,80
Skin conditions and severe disfigurement,2010,10
Deaf or hard of hearing,2010,3270
Difficulty in seeing,2010,3210
Difficulty in speaking,2010,60
Learning disability,2010,890
Progressive illness,2010,1310
