Category,Year,Value
all-people,2007,22250
not-recorded,2007,110
16-17,2007,30
18-24,2007,1350
25-29,2007,1990
30-34,2007,2220
35-39,2007,2960
40-44,2007,3620
45-49,2007,3510
50-54,2007,3100
55-59,2007,2290
60-64,2007,910
65,2007,160
not-recorded,2007,90
female,2007,13090
male,2007,9060
not-recorded,2007,20
arms-or-hands,2007,1420
legs-or-feet,2007,1250
back-or-neck,2007,4310
stomach-liver-kidney-or-digestion,2007,50
heart-blood-blood-pressure-or-circulation,2007,120
chest-or-breathing,2007,70
skin-conditions-and-severe-disfigurement,2007,20
deaf-or-hard-of-hearing,2007,3410
difficulty-in-seeing,2007,3510
difficulty-in-speaking,2007,60
learning-disability,2007,1160
progressive-illness,2007,1420
dyslexia,2007,1190
epilepsy,2007,620
diabetes,2007,70
mental-health-condition,2007,170
cerebral-palsy,2007,280
spina-bifida,2007,100
other,2007,2980
not-recorded,2007,330
north-east,2007,1360
north-west,2007,3570
yorkshire-and-the-humber,2007,2110
east-midlands,2007,1690
west-midlands,2007,2060
east-of-england,2007,1860
london,2007,2090
south-east,2007,2290
south-west,2007,1890
wales,2007,1530
scotland,2007,1480
all-people,2008,24240
not-recorded,2008,50
16-17,2008,20
18-24,2008,1410
25-29,2008,2100
30-34,2008,2310
35-39,2008,3200
40-44,2008,3800
45-49,2008,4020
50-54,2008,3560
55-59,2008,2570
60-64,2008,1010
65,2008,190
not-recorded,2008,80
female,2008,14950
male,2008,9210
not-recorded,2008,20
arms-or-hands,2008,1800
legs-or-feet,2008,1620
back-or-neck,2008,5280
stomach-liver-kidney-or-digestion,2008,50
heart-blood-blood-pressure-or-circulation,2008,150
chest-or-breathing,2008,90
skin-conditions-and-severe-disfigurement,2008,10
deaf-or-hard-of-hearing,2008,3330
difficulty-in-seeing,2008,3490
difficulty-in-speaking,2008,60
learning-disability,2008,990
progressive-illness,2008,1410
dyslexia,2008,1680
epilepsy,2008,640
diabetes,2008,90
mental-health-condition,2008,180
cerebral-palsy,2008,320
spina-bifida,2008,100
other,2008,2940
not-recorded,2008,340
north-east,2008,1360
north-west,2008,3490
yorkshire-and-the-humber,2008,2480
east-midlands,2008,1800
west-midlands,2008,2490
east-of-england,2008,2060
london,2008,2200
south-east,2008,2420
south-west,2008,2200
wales,2008,1510
scotland,2008,1900
all-people,2009,27730
not-recorded,2009,30
16-17,2009,20
18-24,2009,1450
25-29,2009,2420
30-34,2009,2580
35-39,2009,3460
40-44,2009,4390
45-49,2009,4750
50-54,2009,4210
55-59,2009,2980
60-64,2009,1160
65,2009,280
not-recorded,2009,40
female,2009,17330
male,2009,10360
not-recorded,2009,20
arms-or-hands,2009,2120
legs-or-feet,2009,1820
back-or-neck,2009,6360
stomach-liver-kidney-or-digestion,2009,100
heart-blood-blood-pressure-or-circulation,2009,190
chest-or-breathing,2009,120
skin-conditions-and-severe-disfigurement,2009,20
deaf-or-hard-of-hearing,2009,3700
difficulty-in-seeing,2009,3610
difficulty-in-speaking,2009,80
learning-disability,2009,910
progressive-illness,2009,1590
dyslexia,2009,2540
epilepsy,2009,620
diabetes,2009,150
mental-health-condition,2009,330
cerebral-palsy,2009,310
spina-bifida,2009,90
other,2009,3070
not-recorded,2009,360
north-east,2009,1600
north-west,2009,3960
yorkshire-and-the-humber,2009,2870
east-midlands,2009,2060
west-midlands,2009,2880
east-of-england,2009,2470
london,2009,2670
south-east,2009,2800
south-west,2009,2390
wales,2009,1660
scotland,2009,2040
all-people,2010,22420
not-recorded,2010,10
16-17,2010,20
18-24,2010,1320
25-29,2010,1970
30-34,2010,2240
35-39,2010,2790
40-44,2010,3380
45-49,2010,3800
50-54,2010,3290
55-59,2010,2420
60-64,2010,950
65,2010,220
not-recorded,2010,10
female,2010,13740
male,2010,8670
not-recorded,2010,10
arms-or-hands,2010,1620
legs-or-feet,2010,1540
back-or-neck,2010,3810
stomach-liver-kidney-or-digestion,2010,80
heart-blood-blood-pressure-or-circulation,2010,170
chest-or-breathing,2010,80
skin-conditions-and-severe-disfigurement,2010,10
deaf-or-hard-of-hearing,2010,3270
